English for ,Intermediate Learners 2
outcome,"# noun and AW. the result or effect of an action or event
– > Two mayor made a bet on the outcome of the Vegetable Bowl, the annual football game between their high school teams.
– > We are waiting to hear the outcome of the negotiations. "
quarterback,"# ( in American Football )
– > Boulder lose its star quarterback in the first half when he tripped over a cheerleader and sprained his big toe."
sprain,"# to injure a joint in you body, especially your wrist or ankle by suddenly twisting it
– > I stumbled and sprained my ankle. "
glum,"# sad, quite and unhappy == gloomy 
– > The quarterback glumly watched the rest of the game form the bench."
ripe,"# ( of fruit or corns ) fully grown and ready to be eaten 
– > Pick the tomatoes before the get too ripe.
– > As the Boulder team left the stadium, some unhappy fans threw ripe tomatoes at them."
gobble,"# informal: to talk to quickly so people cannot hear you clearly or understand you 
# verb: to eat something very fast, in a way that people consider rude or greedy || wolf 
– > Do not gobble your food like that!
– > The gobbled up all the sandwiches.
– > He took them straight to his pig, which gobbled them right up."
pint,"# a unit of measuring liquids and some dry goods
– > a pint of milk
– > she said: because I mixed a pint of hot sauce into those tomatoes and I wanted to know how his pig’s doing."
,
lesson ,# 10. Goats Being Haired
,
goat,"# an animal with horns and coat of hair
– > a mountain goat
– > Goats are being haired to do the work of men in neighborhood just outside of San Diego."
contractor,"# a person or a company that has a contract to to do work or provide goods or services for other company 
– > While contractors were rebuilding the homes, nature was regrowing the grasses, bushes, and shrubs. "
shrub,"# ( almost like bush ) a large plant that is smaller than a tree and has several stems of wood coming from the ground
– > evergreen shrubs 
– > shrub roses "
pose,"# verb and AW. to create a threat, problem, etc that has to be deal with it
– >  to pose a threat / challenge / damage / risk
– > The task poses no special problems.
– > The are is now so overgrown is brush that is again poses a major fire hazard. "
threat,"# a statement in which you tell someone that you will punish or harm them, especially if they do not do what you want 
– > to make threats against someone 
– > He received death threats from high-wing groups."
hazard,"# a thing that can be dangerous or cause damages 
– > a fire / safety hazard 
– > Everyone is aware of the hazards of smoking.
– > The area is now so overgrown is brush that is again poses a major fire hazard."
council,"# a group of people who are elected to govern an area such as a city or county 
– > The council asked for bids to remove the brush. The lowest bid they received was $50.000."
bid,"# an offer by a person or a company to pay a particular amount of money for something 
– > I bid $2,000 for the painting. 
– > We wanted to buy the chairs but another couple bidding against us."
crew,"# all people working on a ship, plane, etc
– > None of the passengers and crew were injured. 
– > crew members 
– > And that was if the city provided breakfast and lunch for the work crews for the six weeks it would take to clear the overgrown area."
counter,"# noun: a long flat surface over which goods are sold or business is done in a store, bank, etc
– > I asked the woman behind the counter if they had any postcards.
# verb: to reply to someone by trying to prove that what they said is not true
– > Such argument are not easily countered. 
– > I tired to argue but he countered that the plans were not yet finished. 
– > The city countered, offering unlimited coffee (only black) and a doughnut ( donut ) a day for each crew member."
reject,"# AW. to refuse to accept or consider something 
– > When that offer was rejected, the city asked for help on its website."
sheepherder,"# = shepherd: noun: a person whose job is to take care of sheep
# verb: to guide someone or a group of people somewhere, making sure they go where you want them to go
– > A sheepherder in Montana and a goatherder in San Bernardio read about the city’s plight while surfing the web on their laptops. "
plight,"# a difficult or sad situation 
– > the plight of the homeless
– > The African elephant is in desperate plight."
dump,"# noun: 1. a place where waste or garbage is taken and left
– > a garbage dump
– > When told that the city dump was overflowing, the goatherder said: “No problem.”"
overflow,"# verb: to be so full that is contents go over the sides
– > The bathtub is overflowing.
– > ( figurative ) Her heart overflowed with love.
# noun: a number of people or things that do not fit into the space available."
hang-glider ,"# a person who goes hand-gliding 
– > I want to take one of those hang-glider rides."
hang-gliding,"# a sport in which you fly while handing from a frame like a large kite that you control with you body movements 
– > to go hang-gliding "
,
lesson ,# 11. A Missing Cat
,
trailer,"# a truck or a container with wheels, that is pulled by an other vehicle 
– > Mrs. Brown lives by herself in a trailer park near Clovis."
irritate,"# to annoy someone especially by something you continuously do or by that continuously happens 
# adjective: irritating 
# adjective: irritated: angry or annoyed 
– > “Lady, you are supposed to report missing PERSONS, not missing CATS,” said the irritated policeman."
interstate highway,"# ( or interstate ) a wide road with at least two lanes in each direction, where traffic can travel fast for long distances across many states. you can only enter and leave interstates at special ramps
– > There was an empty billboard at the end of her street just off the interstate highway."
blow up,"# 3. to make a photograph bigger | synonym: enlarge 
– > She called the number, and they told her they could blow up a picture of Clyde (from Mrs. Brown’s family album ) and put it on the billboard for all to see.
# 4. to make something seem more important, better, worse, etc than it really is"
whiz,"# ( informal ) to move very quickly making a high continuous sound
– > a bullet whizzed past my ear
– > “But how can people see it when they whiz by on the interstate?” she asked."
commuter,"# a person who travels into a city to work each day, usually from quite far away
– > “Oh do not worry ma’am, they only whiz by between 2 a.m and 5:30am. The rest of the day, the interstate is so full of commuters that no one moves."
ma’am,"# US: used on a polite way of addressing a woman
– > Can I help you ma’am?
# in British: == madam "
,
lesson,# 12. Book Him
,
accuse,"# to say that somebody has done something wrong or is guilty of something
– > to accuse someone of murder / theft 
– > A man accused of failing to return more than 700 children’s books to five different libraries in the county was released from jail."
county,"# an area of British, Ireland, and the U.S that has its own government"
bond,"# 2. an agreement by a government or a company to pay you interest the money you have lent; a document containing this agreement. 
– > … from jail yesterday after a book publisher agreed to post his bond of $1,000."
enrich,"# to make something/someone rich or richer
– > They talk to you, they take care of you, and they enrich you with wisdom and humor and love."
humor,"# ( US: humor, also humour  ) the ability in something that makes it funny or amusing; the ability to laugh at things that are amusing
– > a story full of gentle humor 
– > I cannot stand people with no sense of humor."
dust,"# verb: to clean furniture, a room by removing dust
– > I dusted them with a soft clean cloth."
mercy,"# a kind or forgiving attitude towards someone that you have the power to harm or right to punish | synonym: humanity 
– > God have mercy on us.
# idiom: at the mercy of something: not able to stop harming you because they have power or control over you
– > Now they are all back in the library, on the lower shelves, on the floors, at the mercy of those runny-nosed kids."
-nosed,"# ( in adjective ) having the type of nose mentioned
– > red-nosed
– > large-nosed"
,
lesson,# 13. Water Under the Sink ( part one )
,
bachelor,"# a man who has never been married 
– > The 36-year-old bachelor ate his usual lunch at home."
spinster,"# a woman who is not married, especially an older woman who is not likely to marry"
dill,# a plant with yellow flowers whose leaves and seeds have a strong taste and has strong flavor 
pickle,"# a vegetable that has been preserved in vinegar before being eaten
– > He has an apple, a hap sandwich with sliced dill pickle, a bowl of chicken noodle soup with a couple of soda crackers."
vinegar,"#  a liquid with a sour taste made from wine or apple, used to add flavor to food or preserved it
– > cider / wine vinegar "
ounce,"# a unit of measuring weight 1/16 of a pound equal to 28.35 grams 
– >  … and a small candy bar, all washed down with an eight-ounce glass of milk."
Teflon,"# a substance that is used especially to cover the inside of cooking pans, that stops food from sticking to them
– > Ed put everything in the sink, poured a little dishwashing soap onto to a Teflon pad, and scrubbed the soup bowl, …"
garbage disposal ,"# waste-disposal unit
– > a machine connected to the waste pipe of a kitchen sink for cutting food waste into small pieces
– > The he switched on the garbage disposal to grind up the few bits of food that he had scraped off his plate."
grind ,"# ( ground, ground ) to brake or crash something into very small pieces between two hard substance or using special machine.
– > to grind coffee / corn"
scrape,"# to remove something from a surface by moving something sharp and hard like a knife across it
– > She scraped the mud off her boots.
– > We scraped away the top layer of wallpaper.
– > The kids had scraped their plates clean."
sure enough,"# used to say that something happened as expected 
– > I said had had forget, and sure enough he did.
– > Sure enough, he looked down  and saw some water on the kitchen carpet. “What is this?” he said aloud."
aloud,# adverb: in a voice that other people can hear
steel,"# a strong, hard metal that is made of a mixture of iron and carbon 
– > the iron and steel industry 
– > The frame is made of steel."
seam,"# a line along which two edges of cloth, etc are joined or sewn together
– > a shoulder seam
– > To test his theory, he turned on the switch, a stream of water flowed out of a seam onto the cabinet floor and then onto the kitchen carpet. 
# 2. a thin layer of coal or other material, between layers of rock under the ground 
– > The struck a rich seam of iron ore. "
errand,"# a job that you do for someone else, that involves going somewhere to buy something, deliver goods, etc
– > He often runs errands for his grandmother.
– > Her boss sent her on an errand into town."
,
NEW WEEK,
lesson,# 14. Water Under the Sink ( part two )
,
flathead,"# the head of it is flat ( in my opinion )
– > a flathead screwdriver"
screwdriver,"# a tool with a narrow blade that is specially shaped at the end, used for turning screws 
– > He grabbed a flathead screwdriver and a pair of pliers from his toolbox."
pliers,"# ( plural ) a metal tool with handles, used for holding things firmly and twisting and cutting wire
– > a pair of pliers "
diameter,"# a straight line goes from one side of a circle or any other object to the other side, passing through the center
– > the diameter of a three truck 
– > The cylindrical disposal was about 7 inches in diameter and had a horizontal seam dividing the top half form the bottom half."
halves,"# plural of half
– > The halves were held together by three screws. Ed jiggled the bottom half of the disposal. It was loose."
jiggle,"# ( informal ) to move or make something move up and down or from side to side with short quick movement 
– > She jiggled with the lock.
– > ( + adverb/ preposition ) He stood jiggling his car keys in his hand."
corrode ,"# to destroy something slowly, especially by chemical action; or to be destroyed in this way"
unscrew,"# to undo something by twisting or turning it; to become undo in this way
– > I cannot unscrew the lid of this jar."
harden,"# to become or make something firm, stiff, or solid 
– > The varnish takes a few hours to harden"
gasket,"# a flat piece of rubber, etc placed between two metal surface in a pipe or an engine to prevent steam, gas, or oil from escaping 
– > Ed thought for sure that it would be full of moths-old food, but there was no food, ( and ) only a hardened, useless gasket."
sealant,"# a substance that is put onto a surface to stop air, water, etc, from entering or escaping from it
– > He created this own gasket by using gasket sealant that comes is tube."
manufacture,"# verb, and noun. verb: 1. to make goods in large quantities, using machinery 
# noun: the process of producing goods in large quantities 
– > the manufacture of cars"
,
lesson,# 15. Theft Occurs Everywhere
,
jostle,"# to push roughly against someone in a crowd 
– > An elderly woman told the police that, as she entered a restroom, she was jostled by a woman behind her."
moustache,"# ( US: mustache ) a line of hair that a man allows to grow on his upper lip ( compare to beard )
– > A few minutes later, as she was about to pay for a mustache remover at  a nearby store, she discovered that her wallet was missing from her purse."
pickpocket,"# a person who steal money, etc from other people’s pockets, especially in crowded places 
– > This type of theft is called pickpocketing."
intrusion,"# something that affects a situation on people’s lives in a way that they do not want
– > After such as intrusion, the victims often report a feeling of violation."
seldom,"# not very often == rarely 
– > He had seldom seen a a child with so much talent.
– > She seldom, if ever, goes to the theater.
– > The seldom watch television these days.
– > The seldom regain the comfort and security level they used to have in their home."
regain,"# ( from verb gain ): to get back something you no longer have, especially an ability or a quality 
– > I struggled to regain some dignity.
– > She paused on the edge, trying to regain her balance."
homeowner,"# a person who owns their house or apartment 
– > Sometimes homeowners forget to lock all their windows or doors."
their,"# ( the possessive form of they ) 1. of the belonging to them
– > Their parties are always fun.
# 2. used instead of [his] or [her] to refer to a person whose sex is not mentioned or not known
– > If anyone calls, ask for their number so I can call them back"
them,"# 1. used when referring to people, animals, or things as the object of a verb or preposition, or after the verb be
– > Tell them the news.
# 2. used instead of [him] or [her] to refer to a person whose sex in not mentioned or not known
– > If anyone comes in before I get back, as them to wait."
vulnerable,"# adjective: weak or easily hurt physically or emotionally 
– > to be vulnerable to attack
– > Old people are particularly vulnerable to the flu. 
– > thieves have no shame. They will steal form anyone they they think is vulnerable."
theft,"# the crime of stealing something from a person or place
– > car theft "
thief,"# pl: thieves: a person who steals something form another person or palce
– > a car thief"
larceny,"# ( law )( pl: larcenies ) the crime of stealing something from someone; an occasion when this takes place | synonym: theft 
– > The couple was charged with larceny.
– > Imagine that: a world with no larceny. "
attend,"# ( formal ) to be present at an event
– > to attend a wedding / funeral "
unattended,"# ( formal ) without the owner person; not being watched or care for
– > Never leave your children unattended.
– > Imagine that: a world with no larceny, a world where you can park your bicycle unsecured on the sidewalk, or leaver you purse unattended in you shopping cart."
,
lesson,# 16. Eggs and a Bunny  ( was ignored )
,
lesson,# 17. Hotel Says Goodbye to Clean Couple
